fold,unique_id,slice,origin_timestamp,target_timestamp,horizon,y,y_scaled,id_institution,id_institution_subnet,origin_hour,origin_dayofweek,origin_is_weekend,target_hour,target_dayofweek,target_is_weekend,lag_1,lag_2,lag_3,lag_6,lag_12,lag_36,lag_144,lag_1008,lag_1_scaled,lag_2_scaled,lag_3_scaled,lag_6_scaled,lag_12_scaled,lag_36_scaled,lag_144_scaled,lag_1008_scaled
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 16:00:00,1,0.0,-0.4706638783946087,0,0,15,2,0,16,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 16:10:00,2,0.0,-0.4706638783946087,0,0,15,2,0,16,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 16:20:00,3,0.0,-0.4706638783946087,0,0,15,2,0,16,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 16:30:00,4,0.0,-0.4706638783946087,0,0,15,2,0,16,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 16:40:00,5,0.0,-0.4706638783946087,0,0,15,2,0,16,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 16:50:00,6,0.0,-0.4706638783946087,0,0,15,2,0,16,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 17:00:00,7,0.0,-0.4706638783946087,0,0,15,2,0,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 17:10:00,8,0.0,-0.4706638783946087,0,0,15,2,0,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 17:20:00,9,0.0,-0.4706638783946087,0,0,15,2,0,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 17:30:00,10,0.0,-0.4706638783946087,0,0,15,2,0,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
0,subnet_0__URLLC,URLLC,2024-07-10 15:50:00,2024-07-10 17:40:00,11,0.0,-0.4706638783946087,0,0,15,2,0,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087,-0.4706638783946087
