fold,unique_id,slice,train_start,train_end,mean,std,transform
0,subnet_0__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,1.4447184505019175,3.069533305656936,log1p_zscore
0,subnet_0__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,10.439065846519497,0.7737302607274575,log1p_zscore
0,subnet_0__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,5.655109920441803,5.273576747017427,log1p_zscore
0,subnet_0__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,2.0740774588150406,3.324280014324818,log1p_zscore
0,subnet_106__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.30379405975650114,1.252084489868132,log1p_zscore
0,subnet_106__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,0.3125815339495549,1.307744049464899,log1p_zscore
0,subnet_106__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,0.019455959631313437,0.4370762730818351,log1p_zscore
0,subnet_106__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.13325783547959275,0.9748390371030663,log1p_zscore
0,subnet_107__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,2.314581275147199,2.956387378704757,log1p_zscore
0,subnet_107__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,1.1127871714355688,2.4374025729605573,log1p_zscore
0,subnet_107__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,0.2423990029009375,1.4775385626969604,log1p_zscore
0,subnet_107__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,4.456900895250171,2.9835728146766987,log1p_zscore
0,subnet_109__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.3403807465587702,1.997044211076007,log1p_zscore
0,subnet_109__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,0.1804649296673953,1.473572510240765,log1p_zscore
0,subnet_109__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,3.7967508260945437,5.840133442875654,log1p_zscore
0,subnet_109__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.19191744241894476,1.2284304477923156,log1p_zscore
0,subnet_10__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,1.0343055226174902,2.3386652901578837,log1p_zscore
0,subnet_10__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,5.576511012528804,2.7140420328268218,log1p_zscore
0,subnet_10__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,0.0,1.0,log1p_zscore
0,subnet_10__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.05672976464063818,0.572279559306194,log1p_zscore
0,subnet_113__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,2.4484975539291542,2.7638642464742844,log1p_zscore
0,subnet_113__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,1.95631279850409,2.7524648357416854,log1p_zscore
0,subnet_113__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,0.0,1.0,log1p_zscore
0,subnet_113__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.05844989323072288,0.5850957329906108,log1p_zscore
0,subnet_116__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.22821414619065275,1.0922127589601376,log1p_zscore
0,subnet_116__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,1.3768953659101275,3.472606546918608,log1p_zscore
0,subnet_116__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,0.0,1.0,log1p_zscore
0,subnet_116__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.01868313848636482,0.3168941975036296,log1p_zscore
0,subnet_117__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.9912455102169354,2.2273369212334977,log1p_zscore
0,subnet_117__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,0.3222598260388895,1.3679230451405988,log1p_zscore
0,subnet_117__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,0.5612210350194048,2.4428356979535035,log1p_zscore
0,subnet_117__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,4.046268875346496,3.500162709680918,log1p_zscore
0,subnet_124__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,2.9418179159777256,6.5940794784751935,log1p_zscore
0,subnet_124__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,3.929874196148335,7.575293047171701,log1p_zscore
0,subnet_124__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,10.901175072014652,8.643791336674942,log1p_zscore
0,subnet_126__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,4.7919419071884475,5.425267147015294,log1p_zscore
0,subnet_126__URLLC_eMBB_MIX,URLLC_eMBB_MIX,2024-06-26 16:00:00,2024-07-10 15:50:00,5.699769646138111,6.514393934488805,log1p_zscore
0,subnet_126__eMBB,eMBB,2024-06-26 16:00:00,2024-07-10 15:50:00,11.277434760686818,5.111600533012323,log1p_zscore
0,subnet_126__mMTC,mMTC,2024-06-26 16:00:00,2024-07-10 15:50:00,7.798124916934925,2.6772412653661606,log1p_zscore
0,subnet_136__URLLC,URLLC,2024-06-26 16:00:00,2024-07-10 15:50:00,0.3351678264142295,1.7699897886215663,log1p_zscore
